Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2011,Hamilton,"500,000 and over",d/,,,,,,,,26,13
2003, Dutchess ,"100,000 - 199,999",,12738,1668991,261775,16628,1390589,91652,87689,19,10
2001, Ontario ,Total,,44898,1829734,449962,25393,1354378,77454,72764,38,12
2012,New York City - Richmond,"30,000 - 39,999",,16086,559918,192402,10519,356997,17286,12238,5,5
2007, Clinton ,"50,000 - 59,999",,2197,120482,29429,1649,89404,4738,4220,15,7
1999, Saratoga ,Total,,88920,3969074,883753,51293,3034030,175973,169908,47,12
2010,Onondaga,"60,000 - 74,999",,13837,928570,195635,11010,721925,40503,37426,37,8
2008, Ulster ,"40,000 - 49,999",,5971,266988,77044,3435,186509,9728,8672,57,6
2005, Clinton ,Total,,33634,1284580,332270,17436,934774,53837,44740,15,12
2007, Livingston ,"200,000 - 249,999",,104,22811,2165,135,20511,1405,872,30,11
2012,Washington,"500,000 and over",,35,44397,1770,12,42614,3256,3033,59,13
2011,New York City - Kings,"100,000 - 199,999",,65072,8717982,1220269,57409,7440304,491796,471949,2,10
2005, Westchester ,"50,000 - 59,999",,23546,1290957,352369,14290,924254,50946,47133,61,7
2004, Orange ,"60,000 - 74,999",,11545,776872,193880,12641,570351,31384,29250,39,8
2008, Dutchess ,"75,000 - 99,999",,12391,1077050,243939,12581,820530,47708,43152,19,9
2012,Cortland,"30,000 - 39,999",,2069,71838,22572,1308,47958,2323,1569,17,5
2000, New York City - Kings ,"5,000 - 9,999",,125794,951643,885145,1297,65177,2609,-33624,2,2
2008, Dutchess ,"60,000 - 74,999",,9577,643643,162693,7664,473287,26541,23772,19,8
2012,Ulster,"5,000 - 9,999",,7048,52553,44434,68,8051,322,-990,57,2
2010,Ontario,"200,000 - 249,999",,408,90828,9708,535,80585,5524,5281,38,11
2006, Oswego ,"100,000 - 199,999",,2778,346108,49078,3367,293655,18928,18020,41,10
2010,Oswego,Total,,50958,2023764,519529,28462,1492712,86962,72297,41,14
2002, Sullivan ,"50,000 - 59,999",,1676,91734,22835,1638,67261,3508,3397,54,7
2010,Rockland,"10,000 - 19,999",,18173,268331,182753,7661,77918,3182,-7399,45,3
2003, Delaware ,"60,000 - 74,999",,1075,71844,15672,1093,55079,2974,2893,18,8
2005, Washington ,"75,000 - 99,999",,1572,135013,24832,1705,108477,6233,5794,59,9
2002, Fulton ,"100,000 - 199,999",,632,80160,10662,659,68840,4455,4380,23,10
2006, Schoharie ,"20,000 - 29,999",,1769,43849,18874,1040,23935,1066,486,49,4
2003, Genesee ,"40,000 - 49,999",,2154,96606,27572,2161,66873,3289,3166,24,6
2007, Seneca ,"40,000 - 49,999",,1174,52525,14772,902,36851,1871,1517,51,6
2002, Albany ,"10,000 - 19,999",,19684,292594,176319,6563,109712,4471,-248,7,3
2001, New York City - Manhattan ,"60,000 - 74,999",,44444,2978428,526108,13335,2438984,145482,142409,3,8
2010,Columbia,"100,000 - 199,999",,2322,303904,48567,2391,252946,16518,15338,16,10
2005, Hamilton ,"30,000 - 39,999",,278,9638,3299,151,6188,296,283,26,5
2005, Chautauqua ,"10,000 - 19,999",,10094,150102,96813,3943,49309,2005,-1471,12,3
2005, Schuyler ,"Under 5,000",,1370,2611,2461,0,149,6,-91,50,1
2001, Wayne ,"75,000 - 99,999",,2978,254496,43375,3694,207427,11909,11777,60,9
2005, Tioga ,"20,000 - 29,999",,2846,70198,30516,1710,37972,1682,928,55,4
2006, Chemung ,"20,000 - 29,999",,4559,112373,47760,2763,61850,2751,1080,13,4
2003, Cattaraugus ,Total,,33186,1038917,314866,18414,705635,38870,31948,10,12
2003, Wyoming ,"10,000 - 19,999",,2759,40793,25669,842,14281,582,-158,62,3
2008, Rensselaer ,"50,000 - 59,999",,4489,245818,58593,2843,184382,10032,9010,44,7
2011,Delaware,"20,000 - 29,999",,2392,59081,26063,1370,31648,1409,367,18,4
2005, Dutchess ,"20,000 - 29,999",,13126,326205,139067,6565,180503,8112,5397,19,4
2005, Herkimer ,"30,000 - 39,999",,2847,98999,32541,1989,64469,3091,2802,27,5
2001, Wyoming ,"60,000 - 74,999",,1250,83745,17058,1468,65218,3521,3342,62,8
1999, Delaware ,"10,000 - 19,999",,3930,58180,38060,1618,18502,751,33,18,3
2007, Allegany ,"100,000 - 199,999",,691,87323,12044,776,74503,4816,4420,8,10
2005,"Grand Total, Full-Year Resident","10,000 - 19,999",,1275641,18781877,12230530,576081,5971205,242962,-289586,67,3
2000, Oswego ,"20,000 - 29,999",,6831,169433,68617,4939,95878,4236,3521,41,4
2004, Monroe ,"50,000 - 59,999",,18538,1017500,248085,15417,753999,40024,38645,32,7
2009,Hamilton,"75,000 - 99,999",,137,11920,2437,102,9381,540,506,26,9
2012,Jefferson,"500,000 and over",,118,156606,3014,124,153468,11927,10758,28,13
1999, Ontario ,"Under 5,000",,6569,15071,13970,0,1101,44,-155,38,1
2003,"Grand Total, Full-Year Resident","75,000 - 99,999",,536852,46268110,9208353,560240,36499517,2129795,2068743,67,9
2010,Cortland,"40,000 - 49,999",,1572,70365,18599,1040,50726,2625,2261,17,6
2012,Hamilton,"75,000 - 99,999",,156,13569,2449,114,11006,619,575,26,9
2003, Sullivan ,"20,000 - 29,999",,4404,108594,46973,3347,58274,2575,1550,54,4
2001, Jefferson ,"40,000 - 49,999",,2997,134105,36648,2927,94530,4638,4456,28,6
2010,St. Lawrence,"Under 5,000",,7005,-5844,10998,0,573,23,-754,46,1
2008, Ulster ,"20,000 - 29,999",,9552,237359,102965,4723,129671,5824,2693,57,4
2007, Montgomery ,"30,000 - 39,999",,2588,89748,28230,1564,59954,2945,2351,33,5
2005, Putnam ,"40,000 - 49,999",,3078,138540,44318,1735,92487,4853,4449,43,6
2001, Sullivan ,"200,000 and over",,261,104085,6110,204,97771,6697,6415,54,11
2007, Albany ,"250,000 - 499,999",,1705,573335,44068,2096,527171,36111,34700,7,12
2007, Tioga ,"60,000 - 74,999",,1607,107791,23675,1548,82569,4490,3781,55,8
2006, Chautauqua ,"100,000 - 199,999",,2131,270871,39148,2294,229429,14857,13443,12,10
2009,Washington,"30,000 - 39,999",,2625,91350,29981,1669,59700,2902,2047,59,5
2010,Franklin,"5,000 - 9,999",,1801,13420,11685,19,1716,69,-376,22,2
2005, Rensselaer ,"75,000 - 99,999",,5754,496733,92390,6193,398149,22995,22127,44,9
1999, Saratoga ,"Under 5,000",,12629,29282,27012,0,2269,91,-102,47,1
2006, New York City - Queens ,"100,000 - 199,999",,51743,6770818,1077121,51157,5642527,369722,355648,4,10
2000, Rockland ,"10,000 - 19,999",,16257,239053,148501,5426,85113,3479,433,45,3
2002, Wyoming ,"100,000 - 199,999",,394,49048,6556,472,42021,2703,2551,62,10
2005, Franklin ,"10,000 - 19,999",,3338,49680,32394,1416,15848,644,-572,22,3
2004, Niagara ,"10,000 - 19,999",,15863,234152,144333,5491,84329,3438,-1286,35,3
1999, Chautauqua ,"5,000 - 9,999",,7435,54851,47694,70,7087,284,-617,12,2
2000, Niagara ,"5,000 - 9,999",,11907,88096,72912,82,15102,604,-766,35,2
2010,Monroe,"10,000 - 19,999",,51285,759300,465299,20508,273493,11146,-11489,32,3
2009,Onondaga,"100,000 - 199,999",,19216,2528920,384077,23886,2120957,138590,131677,37,10
2010,Columbia,"60,000 - 74,999",,1909,128213,29347,1441,97424,5408,4647,16,8
2009,Livingston,"50,000 - 59,999",,1618,88738,21694,1248,65796,3483,3032,30,7
2011,Oneida,"30,000 - 39,999",,9915,344565,107741,5908,230916,11376,8486,36,5
1999, NYS Unclassified + ,"100,000 - 199,999",,145,19007,2954,151,15903,1041,992,65,10
